DrawNo,DrawDate,DrawnNo1,DrawnNo2, DrawnNo3, DrawnNo4, DrawnNo5, DrawnNo6,BonusNo,Jackpot1, Jackpot2
504119,20191204,14,19,32,39,42,47,16,0368859401,0010943868
504219,20191207,14,16,19,20,36,46,24,0373175053,0012022781
504319,20191208,05,07,09,23,33,38,15,0377407303,0013080844
504419,20191211,08,17,20,35,38,41,46,0381643865,0014139985
504519,20191214,01,03,05,27,31,39,30,0385829277,0015186338
504619,20191215,01,26,28,32,38,41,34,0389898595,0016203668
504719,20191218,03,06,29,31,36,46,34,0394069729,0017246452
504819,20191221,07,25,27,33,45,50,06,0398375899,0018322995
504919,20191222,04,05,07,24,38,49,48,0402683433,0019399879
505019,20191225,08,11,25,28,39,48,37,0407229315,0010000000
505119,20191228,05,10,14,17,28,37,23,0411742021,0010000000
505219,20191229,08,15,33,38,44,49,31,0416197065,0010000000
505320,20200101,23,27,36,37,38,49,29,0421215969,0010000000
505420,20200104,03,05,12,27,38,48,28,0425894709,0010000000
505520,20200105,01,27,28,35,45,47,07,0430484239,0010000000
505620,20200108,05,10,14,34,36,48,12,0434995515,0010000000
505720,20200111,05,11,30,37,41,50,13,0439626559,0010000000
505820,20200112,02,07,08,17,28,39,11,0444212833,0010000000
505920,20200115,05,07,15,24,47,50,43,0449009559,0010000000
506020,20200118,05,11,30,40,44,46,12,0454081879,0010000000
506120,20200119,02,03,29,32,36,44,17,0459081489,0010000000
506220,20200121,10,19,26,42,43,49,30,0463158881,0010000000
506320,20200122,04,06,16,35,41,49,19,0467978795,0010000000
506420,20200125,01,12,13,29,34,44,30,0473984399,0010000000
506520,20200126,12,23,33,36,47,50,02,0479754163,0010000000
506620,20200128,05,14,30,42,49,50,32,0484341361,0010000000
506720,20200129,12,18,19,20,26,46,49,0489265291,0010000000
506820,20200201,10,12,13,17,29,34,42,0494575101,0010000000
506920,20200202,06,08,19,37,38,43,39,0499819703,0010000000
507020,20200204,19,25,34,35,47,48,40,0504033033,0010000000
507120,20200205,18,31,35,44,48,49,36,0508675517,0010000000
507220,20200208,06,14,20,42,44,46,22,0514139437,0010000000
507320,20200209,11,14,16,18,34,37,49,0519461149,0010000000
507420,20200212,18,31,35,39,47,50,15,0524915587,0010000000
507520,20200215,02,07,11,15,16,25,30,0530154381,0010000000
507620,20200216,03,08,28,33,34,35,38,0535353069,0010000000
507720,20200219,26,39,40,41,44,45,33,0540499111,0010000000
507820,20200222,09,11,18,28,32,33,24,0545927985,0010000000
507920,20200223,01,02,15,18,25,36,04,0551246595,0010000000
508020,20200226,01,02,09,10,25,36,27,0556262243,0010000000
508120,20200229,02,14,18,19,21,42,05,0561746799,0010000000
508220,20200301,01,22,24,36,39,50,20,0567191601,0010000000
508320,20200304,15,16,19,26,32,36,27,0572620783,0010000000
508420,20200307,02,23,26,40,43,45,22,0577951053,0010000000
508520,20200308,17,24,27,28,31,43,49,0583356585,0010000000
508620,20200311,03,04,06,16,19,48,34,0588517521,0010647386
508720,20200314,03,12,35,38,43,48,19,0593813339,0011971341
508820,20200315,07,18,27,37,40,44,38,0599018803,0013272707
512920,20200617,16,32,38,42,45,49,40,0601539915,0013902985
513020,20200620,02,13,27,28,35,45,46,0604768107,0014710033
513120,20200621,03,10,13,29,33,48,38,0607966379,0015509601
513220,20200624,06,11,24,35,47,50,10,0611316561,0016347147
513320,20200627,12,22,25,33,37,44,35,0615204093,0017319030
513420,20200628,14,27,32,35,42,46,21,0619148385,0018305103
513520,20200701,03,04,05,11,39,42,38,0623281063,0019338273
